Player,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,Team
DuganDDarnellDarnellP,1,0,4.50,2,0,0,0,0,1,2.0,2,1,1,0.0,0.0,2,2,2.00,0.25,COL
MichaelMDarrellHicksDarrellHicksP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0,2,0.00,0.0,LAA
JackJDashwoodDashwoodP,0,0,16.20,2,0,0,0,0,1,1.2,2,3,3,0.0,2.0,1,2,1.80,0.286,LAA
AustinADavisDavisP,4,5,5.77,143,3,0,0,0,4,151.1,155,107,97,20.0,13.0,78,165,1.54,.262,SD
NoahNDavisDavisP,0,4,7.71,18,6,0,0,0,0,51.1,77,47,44,10.0,4.0,23,43,1.95,.350,BOS
TrentonTDenholmDenholmP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0,2,0.00,0.0,CLE
ChrisCDevenskiDevenskiP,27,22,3.98,303,7,0,0,8,28,400.0,343,190,177,58.0,14.0,111,415,1.14,.229,NYM
JakeJDiekmanDiekmanP,27,34,3.91,705,0,0,0,19,48,602.1,483,312,262,53.0,47.0,358,764,1.40,.217,ATL
JackJDreyerDreyerP,0,0,4.50,2,0,0,0,0,0,2.0,2,1,1,1.0,0.0,1,2,1.50,0.25,LAD
DaneDDunningDunningP,28,32,4.35,124,102,0,0,0,0,572.2,569,291,277,75.0,36.0,213,517,1.37,.259,TEX
CarlosCDuranDuranP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0,2,0.00,0.0,LAD
BrandonBEisertEisertP,0,0,4.05,3,0,0,0,0,0,6.2,5,3,3,0.0,0.0,4,2,1.35,.227,CWS
JoshJEknessEknessP,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0.0,0.0,1,2,2.00,0.25,MIA
BryceBElderElderP,16,13,4.17,51,50,1,1,0,0,278.1,268,135,129,31.0,13.0,103,221,1.33,.253,ATL
DietrichDEnnsEnnsP,2,0,3.42,11,1,0,0,2,2,26.1,24,12,10,3.0,0.0,7,27,1.18,.235,DET
JoseJEspadaEspadaP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,2,2,2.00,.000,SD
LazaroLEstradaEstradaP,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0.0,0.0,1,2,0.50,0.0,TOR
JoseAJFerrerFerrerP,4,0,4.23,70,0,0,0,1,4,66.0,64,31,31,5.0,3.0,19,50,1.26,.259,WSH
DavidDFestaFestaP,2,6,4.90,14,13,0,0,0,0,64.1,62,36,35,9.0,2.0,23,77,1.32,.247,MIN
BraydonBFisherFisherP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0,2,0.00,0.0,TOR
RichardRFittsFittsP,0,1,1.74,4,4,0,0,0,0,20.2,19,6,4,0.0,0.0,7,9,1.26,.250,BOS
MasonMFluhartyFluhartyP,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0.0,0.0,0,2,1.00,0.25,TOR
KyleKFreelandFreelandP,60,73,4.48,205,200,0,0,0,0,1097.2,1201,585,546,158.0,41.0,354,820,1.42,.280,COL
ShintaroSFujinamiFujinamiP,7,8,7.18,64,7,0,0,2,6,79.0,73,65,63,9.0,7.0,45,83,1.49,.242,SEA
KodyKFunderburkFunderburkP,3,0,5.01,38,0,0,0,1,1,46.2,47,27,26,5.0,6.0,20,51,1.44,.266,MIN
ZacZGallenGallenP,53,37,3.29,143,143,2,2,0,0,815.1,667,316,298,86.0,32.0,258,885,1.13,.221,AZ
JustinJGarzaGarzaP,2,3,5.74,38,1,0,0,0,1,47.0,49,33,30,8.0,1.0,30,46,1.68,.265,SF
PaulPGervaseGervaseP,0,1,16.20,2,0,0,0,0,0,1.2,2,4,3,0.0,0.0,5,2,4.20,0.25,TB
GeoffreyGGilbertGilbertP,0,1,6.75,2,0,0,0,0,0,1.1,1,1,1,0.0,0.0,2,2,2.25,0.2,NYY
LoganLGillaspieGillaspieP,1,1,5.02,37,0,0,0,0,3,37.2,49,24,21,5.0,4.0,8,25,1.51,.316,SD
ConnorCGillispieGillispieP,0,0,2.25,3,0,0,0,0,0,8.0,4,2,2,0.0,0.0,5,8,1.13,.154,MIA
KevinKGinkelGinkelP,21,8,3.47,238,0,0,0,13,25,233.1,203,113,90,22.0,8.0,85,254,1.23,.233,AZ
TylerTGlasnowGlasnowP,39,33,3.81,149,110,0,0,0,0,663.2,519,300,281,84.0,10.0,247,846,1.15,.212,LAD
TonyTGonsolinGonsolinP,34,11,3.19,79,71,0,0,1,2,375.2,264,141,133,44.0,13.0,131,349,1.05,.195,LAD
TannerTGordonGordonP,0,6,8.65,8,8,0,0,0,0,34.1,53,34,33,10.0,2.0,6,26,1.72,.356,COL
TysonTGuerreroGuerreroP,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0.0,0.0,0,2,0.00,0.0,KC
JustinJHagenmanHagenmanP,0,0,0.00,1,0,0,0,0,0,2.0,1,0,0,0.0,0.0,0,2,0.50,0.143,NYM
EmersonEHancockHancockP,4,4,4.71,15,15,0,0,0,0,72.2,75,43,38,13.0,6.0,22,45,1.33,.263,SEA
TysonTHardinHardinP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,3,2,3.00,0.0,MIL
HoganHHarrisHarrisP,7,10,4.85,35,15,0,0,0,0,135.1,132,80,73,17.0,6.0,61,117,1.43,.256,ATH
GeoffGHartliebHartliebP,1,1,7.37,64,0,0,0,0,0,79.1,93,68,65,11.0,6.0,55,76,1.87,.296,NYY
GrantGHartwigHartwigP,5,2,5.14,32,0,0,0,0,0,42.0,40,29,24,4.0,8.0,19,34,1.40,.248,NYM
JonathanJHeasleyHeasleyP,5,12,5.89,40,24,0,0,0,1,139.0,150,99,91,29.0,10.0,55,89,1.47,.277,CWS
ClayCHelveyHelveyP,0,0,0.00,2,0,0,0,0,0,2.0,0,0,0,0.0,0.0,3,2,1.50,0.0,WSH
LoganLHendersonHendersonP,0,0,0.00,1,0,0,0,0,0,1.0,2,0,0,0.0,0.0,0,2,2.00,0.4,MIL
JohnJHolobetzHolobetzP,0,0,27.00,1,0,0,0,0,0,1.0,2,3,3,1.0,0.0,1,2,3.00,0.4,MIL
BryanBHudsonHudsonP,6,1,2.41,49,0,0,0,0,3,71.0,40,19,19,8.0,4.0,21,69,0.86,.163,MIL
BrandonBHughesHughesP,2,6,4.75,89,2,0,0,8,14,89.0,80,49,47,21.0,9.0,39,106,1.34,.236,CHC
TylerTJayJayP,0,0,4.70,5,0,0,0,0,0,7.2,9,5,4,0.0,0.0,6,6,1.96,.300,MIL
RyanRJenningsJenningsP,1,0,0.00,1,0,0,0,0,0,2.0,2,0,0,0.0,1.0,0,2,1.00,0.25,TOR
AntonioAJimenezJimenezP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0,2,0.00,0.0,SF
JimmyJJoyceJoyceP,0,1,13.50,1,0,0,0,0,1,0.2,3,2,1,0.0,0.0,0,2,4.50,0.6,SEA
TylerTKinleyKinleyP,13,11,4.98,269,0,0,0,18,27,258.2,233,147,143,35.0,11.0,127,269,1.39,.239,COL
AustinAKitchenKitchenP,0,1,14.14,4,1,0,0,0,0,7.0,16,12,11,1.0,0.0,3,4,2.71,.421,SEA
JaredJKoenigKoenigP,10,7,3.73,65,11,0,0,1,3,101.1,94,47,42,8.0,9.0,38,85,1.30,.241,MIL
StephenSKolekKolekP,3,0,5.21,42,0,0,0,0,1,46.2,59,30,27,4.0,3.0,12,39,1.52,.303,SD
RonanRKoppKoppP,0,0,5.40,2,0,0,0,0,0,1.2,1,1,1,0.0,0.0,4,2,3.00,0.2,LAD
BenBKudrnaKudrnaP,0,0,0.00,1,0,0,0,0,0,2.0,3,0,0,0.0,0.0,0,2,1.50,0.333,KC
JoelJKuhnelKuhnelP,4,3,5.86,82,0,0,0,1,3,93.2,103,61,61,14.0,7.0,24,76,1.36,.278,PHI
AndryALaraLaraP,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0.0,0.0,0,2,1.00,0.25,WSH
JohnathanJLavalleeLavalleeP,0,0,0.00,1,0,0,0,0,0,1.1,1,0,0,0.0,0.0,1,2,1.50,0.2,TOR
CodyCLawerysonLawerysonP,0,0,0.00,1,0,0,0,1,1,1.0,0,0,0,0.0,0.0,0,2,0.00,0.0,MIN
ChaseCLeeLeeP,0,0,4.50,2,0,0,0,0,0,2.0,3,1,1,1.0,0.0,0,2,1.50,0.333,DET
JackJLeftwichLeftwichP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,1,2,1.00,0.0,CLE
JacobJLopezLopezP,1,0,4.76,8,2,0,0,1,1,22.2,19,14,12,2.0,4.0,9,16,1.24,.218,ATH
RyanRLoutosLoutosP,0,0,0.00,3,0,0,0,0,0,2.1,2,0,0,0.0,0.0,1,0,1.29,.222,STL
SethSLugoLugoP,56,40,3.38,334,97,1,0,16,31,847.2,756,343,318,95.0,31.0,221,829,1.15,.237,KC
DanielDLynchIVLynchP,13,23,4.91,67,54,0,0,1,1,295.1,314,171,161,45.0,14.0,113,250,1.45,.270,KC
ReynaldoRLpezLpezP,47,54,3.93,267,122,1,0,6,17,815.1,743,392,356,109.0,24.0,291,765,1.27,.242,ATL
TylerTMahleMahleP,33,42,4.32,126,125,0,0,0,0,648.1,612,334,311,99.0,30.0,235,687,1.31,.247,TEX
MattMManningManningP,11,15,4.43,50,50,0,0,0,0,254.0,242,138,125,30.0,9.0,85,178,1.29,.249,DET
DavisDMartinMartinP,3,11,4.61,25,19,0,0,0,1,113.1,113,61,58,13.0,8.0,42,95,1.37,.260,CWS
RileyRMartinMartinP,1,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0.0,0.0,0,2,1.00,0.25,CHC
ZebbyZMatthewsMatthewsP,1,4,6.69,9,9,0,0,0,0,37.2,51,31,28,11.0,2.0,11,43,1.65,.311,MIN
DarrenDMcCaughanMcCaughanP,0,0,6.43,17,6,0,0,2,2,56.0,68,45,40,13.0,7.0,22,40,1.61,.300,MIN
GriffGMcGarryMcGarryP,0,0,9.00,1,0,0,0,0,0,1.0,2,1,1,0.0,0.0,0,2,2.00,0.4,PHI
ScottSMcGoughMcGoughP,3,10,5.83,95,3,0,0,9,16,109.2,106,77,71,20.0,3.0,55,115,1.47,.252,AZ
JulianJMerryweatherMerryweatherP,6,6,4.58,131,5,0,0,4,8,139.2,131,72,71,16.0,7.0,62,162,1.38,.247,CHC
LuisLMeyMeyP,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0.0,1.0,0,2,1.00,0.25,CIN
AndrewAMisiaszekMisiaszekP,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0.0,0.0,2,2,3.00,0.25,CLE
BrockBMooreMooreP,0,0,27.00,1,0,0,0,0,0,0.2,0,2,2,0.0,1.0,2,2,3.00,0.0,SEA
PennPMurfeeMurfeeP,5,2,2.70,80,1,0,0,0,1,83.1,53,28,25,8.0,3.0,28,92,0.97,.179,CWS
GermnGMrquezMrquezP,65,56,4.42,177,174,4,2,0,0,1020.0,1007,536,501,142.0,32.0,306,986,1.29,.257,COL
BrandonBNeeckNeeckP,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0.0,0.0,2,2,3.00,0.25,LAD
BradenBNettNettP,0,0,13.50,1,1,0,0,0,0,2.0,2,3,3,0.0,2.0,1,2,1.50,0.286,SD
DougDNikhazyNikhazyP,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0.0,0.0,0,2,0.00,0.0,CLE
VinnyVNittoliNittoliP,0,1,2.41,15,0,0,0,0,0,18.2,15,5,5,2.0,2.0,5,13,1.07,.221,MIL
RyanROchOchP,0,0,0.00,2,0,0,0,0,0,2.0,1,0,0,0.0,0.0,0,2,0.50,0.143,SD
StevenSOkertOkertP,15,11,3.92,272,3,0,0,1,15,229.2,185,108,100,33.0,19.0,96,253,1.22,.220,HOU
HelcrisHOlivarezOlivarezP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0,2,0.00,0.0,SF
RobinsonROrtizOrtizP,0,0,4.50,2,0,0,0,0,0,2.0,0,1,1,0.0,0.0,2,2,1.00,0.0,LAD
DanielDPalenciaPalenciaP,5,4,5.02,37,0,0,0,1,2,43.0,36,27,24,3.0,3.0,26,49,1.44,.228,CHC
JoelJPegueroPegueroP,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0.0,0.0,0,2,1.00,0.25,SF
FrancisFPenaPenaP,0,0,4.50,2,0,0,0,0,0,2.0,2,1,1,1.0,0.0,1,2,1.50,0.25,SD
LuisLPeraltaPeraltaP,0,0,0.73,15,0,0,0,0,0,12.1,7,1,1,0.0,2.0,5,14,0.97,.175,COL
JackJPerkinsPerkinsP,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0.0,0.0,1,2,0.50,0.0,ATH
AndersonAPilarPilarP,0,0,13.50,1,0,0,0,0,0,0.2,2,1,1,0.0,0.0,0,2,3.00,0.5,ATL
ColinCPochePocheP,22,12,3.63,225,0,0,0,12,31,208.1,151,90,84,31.0,7.0,78,230,1.10,.200,WSH
DrewDPomeranzPomeranzP,48,58,3.91,289,140,0,0,9,13,858.1,786,403,373,110.0,23.0,369,883,1.35,.244,SEA
MichaelMProseckyProseckyP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0,2,0.00,0.0,COL
AJAPukPukP,17,20,3.53,204,4,0,0,22,42,219.0,186,100,86,24.0,15.0,75,271,1.19,.224,AZ
MattMPushardPushardP,0,0,0.00,2,0,0,0,1,1,2.0,0,0,0,0.0,0.0,0,2,0.00,0.0,MIA
ColeCRagansRagansP,18,17,3.46,70,53,1,0,0,0,322.1,259,135,124,28.0,8.0,124,363,1.19,.218,KC
MaxMRajcicRajcicP,0,0,4.50,1,0,0,0,0,1,2.0,2,1,1,0.0,0.0,1,2,1.50,0.286,STL
YohanYRamrezRamrezP,6,9,4.58,140,0,0,0,7,11,169.0,147,95,86,20.0,36.0,86,173,1.38,.235,PIT
TaylorTRashiRashiP,0,0,4.50,2,0,0,0,0,1,2.0,2,1,1,0.0,0.0,0,2,1.00,0.25,AZ
EricEReyzelmanReyzelmanP,0,0,9.00,1,0,0,0,0,0,1.0,2,1,1,0.0,0.0,0,2,2.00,0.4,NYY
EthanERobertsRobertsP,1,2,4.72,30,0,0,0,0,0,34.1,41,18,18,6.0,2.0,16,35,1.66,.297,CHC
YarielYRodrguezRodriguezP,1,8,4.47,21,21,0,0,0,0,86.2,74,46,43,11.0,3.0,40,85,1.32,.229,TOR
RandyRRodrguezRodrguezP,3,2,4.30,35,1,0,0,0,2,52.1,47,29,25,4.0,3.0,18,53,1.24,.240,SF
TaylorTRogersRogersP,28,34,3.34,509,0,0,0,83,111,490.2,435,208,182,50.0,33.0,142,573,1.18,.237,CIN
RyanRRolisonRolisonP,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0.0,0.0,0,2,0.00,0.0,COL
EnnyERomeroRomeroP,4,6,5.12,137,1,0,0,3,8,146.0,160,92,83,19.0,4.0,74,156,1.60,.276,SF
TonyTSantillanSantillanP,5,7,3.46,79,5,0,0,4,9,96.1,82,41,37,12.0,11.0,47,124,1.34,.228,CIN
FrankieFScalzoJrScalzoP,0,0,4.50,2,0,0,0,0,0,2.0,1,1,1,0.0,0.0,2,2,1.50,0.143,CHC
CamCSchlittlerSchlittlerP,0,0,0.00,1,0,0,0,0,0,2.0,1,0,0,0.0,0.0,1,2,1.00,0.143,NYY
WillWSchombergSchombergP,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0.0,0.0,1,2,2.00,0.25,MIA
SpencerSSchwellenbachSchwellenbachP,8,7,3.35,21,21,0,0,0,0,123.2,106,49,46,14.0,6.0,23,127,1.04,.226,ATL
TannerTanScottScottP,31,24,3.56,383,0,0,0,55,75,368.2,298,167,146,28.0,21.0,202,486,1.36,.220,LAD
AntonioASenzatelaSenzatelaP,39,44,4.90,148,122,1,0,0,1,692.0,787,399,377,83.0,27.0,217,458,1.45,.289,COL
CarsonCSeymourSeymourP,0,0,9.00,1,0,0,0,0,0,2.0,4,2,2,0.0,0.0,0,2,2.00,0.4,SF
BryanBShawShawP,43,46,3.96,796,2,0,0,19,62,764.1,723,377,336,82.0,32.0,299,681,1.34,.249,CIN
ChasenCShreveShreveP,22,14,3.96,368,0,0,0,2,12,357.0,312,167,157,61.0,8.0,166,387,1.34,.233,ATL
AnthonyASimonelliSimonelliP,0,0,0.00,2,0,0,0,1,1,2.0,2,0,0,0.0,0.0,1,2,1.50,0.286,KC
CollinCSniderSniderP,7,6,4.20,104,1,0,0,1,6,96.1,100,51,45,11.0,2.0,41,80,1.46,.270,SEA
GregoryGSotoSotoP,14,29,4.27,321,7,0,0,55,66,318.0,288,176,151,30.0,20.0,169,340,1.44,.239,BAL
GabeGSpeierSpeierP,2,6,4.18,139,1,0,0,1,3,118.1,106,58,55,14.0,6.0,40,132,1.23,.241,SEA
JeffreyJSpringsSpringsP,23,12,3.39,145,37,0,0,2,6,313.2,287,131,118,42.0,4.0,104,359,1.25,.240,ATH
JoshJStaumontStaumontP,10,7,3.97,194,1,0,0,8,12,192.2,154,97,85,16.0,10.0,109,209,1.37,.218,CIN
JustinJSternerSternerP,0,0,2.25,2,0,0,0,0,0,4.0,5,2,1,0.0,0.0,1,4,1.50,.294,ATH
RobertRStockStockP,2,4,4.71,55,3,0,0,0,2,72.2,77,44,38,6.0,4.0,40,76,1.61,.273,BOS
KadeKStrowdStrowdP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,2,2,2.00,0.0,BAL
MitchellMStumpoStumpoP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0,2,0.00,0.0,AZ
JosJSuarezSuarezP,20,29,5.47,99,61,1,0,1,1,376.2,401,241,229,66.0,24.0,154,346,1.47,.269,LAA
RyanRSubletteSubletteP,1,0,0.00,2,0,0,0,0,0,1.1,1,0,0,0.0,0.0,0,2,0.75,0.2,LAD
JarlinJSusanaSusanaP,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0.0,0.0,2,2,3.00,0.25,WSH
BrentBSuterSuterP,41,22,3.45,300,44,0,0,3,14,529.2,508,237,203,65.0,18.0,135,443,1.21,.251,CIN
JamesonJTaillonTaillonP,71,53,3.89,201,200,3,1,1,1,1107.1,1072,516,479,146.0,32.0,267,975,1.21,.252,CHC
MisaelMTamarezTamarezP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0,2,0.00,0.0,HOU
CalebCThielbarThielbarP,23,12,3.38,347,0,0,0,4,7,320.0,273,134,120,33.0,4.0,107,347,1.19,.229,CHC
AndersATolhurstTolhurstP,1,0,4.50,1,0,0,0,0,1,2.0,4,1,1,1.0,0.0,0,2,2.00,0.4,TOR
MichaelMTonkinTonkinP,14,10,4.18,243,0,0,0,3,10,305.2,289,173,142,44.0,17.0,107,309,1.30,.247,MIN
JustinJTopaTopaP,5,5,3.71,95,0,0,0,3,7,89.2,90,46,37,7.0,3.0,23,80,1.26,.261,MIN
CayneCUeckertUeckertP,0,0,0.00,2,0,0,0,0,0,1.1,1,0,0,0.0,0.0,0,2,0.75,0.25,CHC
MiguelMUllolaUllolaP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,2,2,2.00,0.0,HOU
GusGVarlandVarlandP,2,1,4.82,42,0,0,0,0,1,46.2,57,30,25,5.0,2.0,24,47,1.74,.298,CWS
AnthonyAVenezianoVenezianoP,1,0,2.87,14,0,0,0,0,1,15.2,18,9,5,1.0,1.0,5,15,1.47,.290,MIA
AustinAVernonVernonP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,1,2,1.00,0.0,TB
RandyRVsquezVsquezP,6,9,4.31,31,25,0,0,0,0,135.2,149,68,65,18.0,10.0,47,95,1.44,.280,SD
MattMWaldronWaldronP,8,14,4.79,35,32,0,0,0,0,188.0,184,104,100,30.0,11.0,52,164,1.26,.253,SD
JacobJWallaceWallaceP,0,0,0.00,1,0,0,0,1,1,1.0,0,0,0,0.0,0.0,1,2,1.00,0.0,KC
AustinAWarrenWarrenP,6,0,3.14,38,0,0,0,1,2,48.2,46,18,17,5.0,1.0,15,38,1.25,.251,NYM
GregGWeissertWeissertP,7,2,3.61,91,0,0,0,1,5,94.2,92,48,38,11.0,3.0,33,91,1.32,.259,BOS
BrendanBWhiteWhiteP,2,3,5.09,33,2,0,0,0,0,40.2,40,25,23,4.0,5.0,15,44,1.35,.258,DET
ForrestFWhitleyWhitleyP,0,0,0.00,3,0,0,0,0,0,3.1,5,2,0,0.0,1.0,3,5,2.40,.313,HOU
JordanJWicksWicksP,6,5,5.02,18,17,0,0,0,0,80.2,88,48,45,14.0,2.0,31,66,1.48,.275,CHC
ColeCWilcoxWilcoxP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0,2,0.00,0.0,TB
AmosAWillinghamWillinghamP,0,2,7.11,19,0,0,0,0,0,25.1,37,20,20,9.0,1.0,9,16,1.82,.339,ATL
JoshJWinckowskiWinckowskiP,13,13,4.21,115,21,0,0,5,10,230.2,255,125,108,29.0,9.0,84,186,1.47,.279,BOS
JadenJWoodsWoodsP,0,0,18.00,1,0,0,0,0,0,1.0,1,2,2,1.0,0.0,2,2,3.00,0.25,PIT
JustinJWrobleskiWrobleskiP,1,2,5.70,8,6,0,0,1,1,36.1,34,24,23,9.0,1.0,16,26,1.38,.248,LAD
YoshinobuYYamamotoYamamotoP,7,2,3.00,18,18,0,0,0,0,90.0,78,32,30,7.0,1.0,22,105,1.11,.229,LAD
CraigCYohoYohoP,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0.0,0.0,0,2,1.00,0.25,MIL
AlexAYoungYoungP,16,18,4.34,177,25,0,0,1,8,277.2,285,156,134,49.0,10.0,106,239,1.41,.262,CIN
BrandonBYoungYoungP,0,0,0.00,1,0,0,0,0,0,2.0,2,0,0,0.0,0.0,0,2,1.00,0.286,BAL
YosverYZuluetaZuluetaP,0,0,4.96,12,0,0,0,0,0,16.1,15,10,9,2.0,1.0,7,20,1.35,.246,CIN
DaisonDAcostaAcostaP,0,0,27.00,1,0,0,0,0,0,1.0,1,3,3,1.0,0.0,2,1,3.00,0.25,WSH
JoseJAdamesAdamesP,0,0,0.00,1,0,0,0,0,0,0.1,0,0,0,0.0,1.0,0,1,0.00,0.0,BOS
SandySAlcantaraAlcantaraP,41,55,3.32,146,138,12,4,0,0,900.2,769,378,332,91.0,35.0,273,789,1.16,.231,MIA
PeytonPAlfordAlfordP,0,0,81.00,1,0,0,0,0,1,0.1,2,3,3,0.0,0.0,2,1,12.00,0.667,SEA
LoganLAllenAllenP,15,13,4.65,44,44,0,0,0,0,222.2,240,118,115,38.0,5.0,89,198,1.48,.277,CLE
LoganLAllenAllenP,5,11,5.79,45,15,0,0,1,1,124.1,150,85,80,20.0,10.0,52,89,1.62,.302,CLE
GrantGAndersonAndersonP,2,2,6.35,49,0,0,0,1,6,62.1,71,44,44,16.0,2.0,24,59,1.52,.289,MIL
IanIAndersonAndersonP,22,13,3.97,52,52,0,0,0,0,272.1,241,125,120,29.0,4.0,121,262,1.33,.233,ATL
JackJAndersonAndersonP,0,0,0.00,1,0,0,0,0,0,0.2,2,0,0,0.0,0.0,0,1,3.00,0.5,BOS
NickNAndersonAndersonP,14,7,3.18,165,0,0,0,10,16,158.1,126,60,56,20.0,3.0,47,202,1.09,.215,STL
RomanRAngeloAngeloP,0,0,27.00,1,0,0,0,0,0,1.0,2,3,3,0.0,0.0,4,1,6.00,0.4,AZ
LuarbertLAriasAriasP,0,1,47.25,2,0,0,0,0,1,1.1,4,8,7,1.0,1.0,5,1,6.75,0.5,MIA
MichaelMAriasAriasP,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0.0,0.0,0,1,1.00,0.25,NYY
JustinJArmbruesterArmbruesterP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0,1,0.00,0.0,BAL
AaronAAshbyAshbyP,6,14,4.20,54,25,0,0,2,3,167.1,151,95,78,21.0,7.0,69,198,1.31,.234,MIL
GrahamGAshcraftAshcraftP,17,20,4.91,60,60,0,0,0,0,328.0,356,189,179,45.0,24.0,109,239,1.42,.274,CIN
KeyshawnKAskewAskewP,0,0,0.00,2,0,0,0,0,0,2.0,1,0,0,0.0,0.0,2,1,1.50,0.143,TB
LakeLBacharBacharP,0,1,3.86,10,0,0,0,0,0,9.1,10,5,4,2.0,0.0,4,11,1.50,.278,MIA
HenryHBaezBaezP,0,0,0.00,1,0,0,0,0,0,0.2,1,0,0,0.0,0.0,2,1,4.50,0.333,SD
AlecABakerBakerP,0,0,27.00,1,0,0,0,0,0,0.2,3,2,2,0.0,0.0,0,1,4.50,0.75,AZ
BryanBBakerBakerP,9,7,3.76,132,2,0,0,1,6,139.0,114,62,58,10.0,4.0,57,151,1.23,.225,BAL
ScottSBarlowBarlowP,23,21,3.49,365,0,0,0,58,74,387.0,325,163,150,35.0,19.0,164,461,1.26,.227,CIN
MasonMBarnettBarnettP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,2,1,2.00,0.0,ATH
EduardEBazardoBazardoP,3,0,4.00,49,0,0,0,0,0,63.0,48,28,28,8.0,2.0,19,62,1.06,.209,SEA
AndrewABechtoldBechtoldP,0,0,0.00,1,0,0,0,0,0,0.1,0,0,0,0.0,0.0,1,1,3.00,0.0,PHI
TristanTBeckBeckP,3,3,3.56,40,4,0,0,2,3,101.0,97,43,40,12.0,3.0,25,82,1.21,.248,SF
IanIBedellBedellP,0,1,9.00,1,0,0,0,0,0,1.0,1,1,1,0.0,0.0,2,1,3.00,0.25,STL
DavidDBednarBednarP,12,18,3.36,251,0,0,0,84,100,254.2,210,110,95,25.0,8.0,91,303,1.18,.220,PIT
PrelanderPBerroaBerroaP,1,0,3.05,19,0,0,0,0,0,20.2,15,7,7,2.0,1.0,16,29,1.50,.203,CWS
JakeJBirdBirdP,7,9,4.53,143,3,0,0,1,15,177.0,182,97,89,18.0,15.0,75,150,1.45,.269,COL
RonelRBlancoBlancoP,15,7,3.31,54,36,1,1,0,0,225.2,171,90,83,35.0,5.0,100,225,1.20,.208,HOU
ScottSBlewettBlewettP,1,1,2.22,17,0,0,0,0,0,28.1,26,8,7,2.0,1.0,14,26,1.41,.243,MIN
GageGBoehmBoehmP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,1.0,0,1,0.00,0.0,SEA
RodneyRBooneBooneP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0,1,0.00,0.0,CLE
RyanRBoruckiBoruckiP,14,9,4.23,148,21,0,0,0,4,221.1,205,114,104,27.0,10.0,81,182,1.29,.245,PIT
CalebCBoushleyBoushleyP,1,0,4.26,3,0,0,0,0,1,6.1,7,3,3,1.0,0.0,4,6,1.74,.269,TEX
RyanRBrasierBrasierP,10,8,3.85,297,5,0,0,10,26,285.1,245,137,122,31.0,7.0,84,281,1.15,.232,CHC
JeffJBrighamBrighamP,4,10,4.76,90,4,0,0,2,5,117.1,102,65,62,22.0,8.0,55,121,1.34,.234,AZ
JhonyJBritoBritoP,10,9,4.23,51,13,0,0,1,4,134.0,131,70,63,18.0,4.0,38,101,1.26,.257,SD
ConnorCBrogdonBrogdonP,10,8,3.97,143,2,0,0,3,9,145.0,130,71,64,24.0,3.0,53,146,1.26,.237,LAA
